gene,coefficient
gene_100533496,0.0707740000674263
gene_3903,0.03003238640127244
gene_58473,0.02524616358602702
gene_3119,0.023028867944052567
gene_11025,0.022708906370430635
gene_89866,0.021785446097054566
gene_23414,0.02068698533675848
gene_7373,0.02059517910865217
gene_286234,0.02047162363832138
gene_488,0.019790673450521167
gene_285190,0.0187158404637556
gene_10870,0.01827044893823588
gene_254887,0.017755566876128052
gene_9997,0.017321842473864524
gene_90594,0.017204762761178265
gene_5339,0.01714191214644162
gene_339398,0.017008715688790428
gene_6725,0.016904365201421585
gene_255928,0.01629740379383608
gene_51686,0.015796597747332438
gene_115209,0.01571990099448217
gene_23417,0.015527673275837893
gene_28976,0.015187766118958883
gene_10665,0.015044618279819417
gene_9138,0.014866605092127687
gene_26094,0.014826738683468108
gene_1504,0.014598777397670836
gene_727957,0.014455991194063425
gene_7138,0.014421600813656146
gene_93190,0.014421312320583505
gene_3159,0.014311685918006628
gene_25797,0.014253212383963857
gene_221188,0.014170939967986726
gene_375346,0.014072947353879728
gene_2533,0.013929946093515876
gene_79083,0.0137864201158961
gene_6609,0.013691733274684812
gene_105376780,0.013615779385951671
gene_100130357,0.013349884801013862
gene_8398,0.013345629485142316
gene_23325,0.01323633879819174
gene_8874,0.01301068159188405
gene_3823,0.012845019937461951
gene_26018,0.012805969409246255
gene_9177,0.012744001374929051
gene_286343,0.012461085662899303
gene_388552,0.012431467903926205
gene_11185,0.012335597963856451
gene_55871,0.012249682946999789
gene_2483,0.012197088010280903
gene_58494,0.012058968010532129
gene_9152,0.011802427604966616
gene_8495,0.011731410136675278
gene_9145,0.011587331607793377
gene_55102,0.011481600243460288
gene_51231,0.011459349396506594
gene_5222,0.010940698339543743
gene_100653515,0.0108373055531862
gene_64756,0.010765675660450266
gene_4548,0.010699394485671232
gene_65999,0.010680067089996343
gene_8858,0.010568995737687947
gene_6339,0.01053322358030661
gene_23254,0.01040765805093284
gene_51151,0.010366945858702634
gene_534,0.010331137274450232
gene_8388,0.010220008191688407
gene_5027,0.00998642709533816
gene_23624,0.00995180757101044
gene_191585,0.00986566169600291
gene_79657,0.009806392127670337
gene_23101,0.009785690142644196
gene_22932,0.009619928770866894
gene_342096,0.009531205533140373
gene_6337,0.009470100120516623
gene_158293,0.009343918737417503
gene_127068,0.009039470956119011
gene_255119,0.009027671721351261
gene_66035,0.009025129031416026
gene_8029,0.009020542341459383
gene_1369,0.008985456084633173
gene_51466,0.008978813382670455
gene_401992,0.008886506050304423
gene_105379285,0.008886506050304423
gene_1977,0.008857065477572344
gene_57118,0.008689217235295487
gene_339366,0.008518119345049218
gene_26027,0.008430452764815148
gene_84168,0.008415246429282184
gene_66000,0.008381600749194428
gene_5830,0.008209291055107376
gene_79792,0.008192587396282942
gene_152098,0.007984597185007828
gene_64423,0.007975430466450922
gene_85413,0.007779279150186568
gene_285148,0.007734447106989266
gene_11252,0.007685165593965208
gene_386674,0.007680375383228556
gene_4799,0.007634530010443343
gene_728441,0.007605732456237437
gene_55244,0.007549079185016305
gene_53833,0.00754308650540171
gene_2567,0.007427713779096701
gene_5742,0.007404431004711408
gene_1525,0.007382225267114176
gene_54495,0.0073164053410423625
gene_84313,0.007280068986071248
gene_51201,0.007200961699862351
gene_1468,0.007116763335747975
gene_1265,0.007017073096330669
gene_6095,0.006885213123049129
gene_105374089,0.006883497556075604
