gene,coefficient
PRS_scaled,0.0933984385173836
gene_100533496,0.07041221056474695
gene_3903,0.030560219514027206
gene_3119,0.023699084208727638
gene_58473,0.023606080330287885
gene_11025,0.022603664400099685
gene_89866,0.021307329901310724
gene_23414,0.02049963457703839
gene_286234,0.02034097865049928
gene_7373,0.02032653286154465
gene_488,0.019986882747910432
gene_285190,0.018800238553600735
gene_10870,0.018520997470793946
gene_90594,0.01772530451871576
gene_254887,0.017637306221796465
gene_5339,0.017317549546546736
gene_339398,0.017238337965219203
gene_9997,0.016828501628976034
gene_255928,0.016793143057368492
gene_6725,0.01671523573113627
gene_115209,0.016712756542280202
gene_23417,0.016546308612045146
gene_28976,0.016098815026903253
gene_26094,0.01564169622683023
gene_10665,0.0155244410077966
gene_51686,0.015481108545072784
gene_9138,0.015250125920309176
gene_25797,0.015225712845854611
gene_727957,0.01490062529654836
gene_7138,0.014869601216389807
gene_8398,0.014622724978997631
gene_2533,0.014600964919298642
gene_93190,0.014527397813226964
gene_221188,0.014410578555348032
gene_1504,0.01437505497828603
gene_375346,0.014168256370505918
gene_79083,0.013750274243842946
gene_3159,0.013730310611594933
gene_100130357,0.013605119110821054
gene_9177,0.013453265565293394
gene_51231,0.013441230913172618
gene_8874,0.013376151023423419
gene_3823,0.01280121754848053
gene_6609,0.012662743862476695
gene_58494,0.012387149943670598
gene_55871,0.012226978270668095
gene_23325,0.012172011920908828
gene_388552,0.012152261850790253
gene_9152,0.012099744127017076
gene_11185,0.012003635735654904
gene_2483,0.01197485839372798
gene_286343,0.011924709039393197
gene_8495,0.011915812704627061
gene_26018,0.01153790150760614
gene_100653515,0.011536244173411021
gene_55102,0.011371298418518623
gene_64756,0.011344446316375613
gene_105376780,0.011210330213341987
gene_65999,0.011050271677174588
gene_5222,0.010990397895693966
gene_23624,0.010859789542830402
gene_8858,0.010659568858425006
gene_9145,0.01057778005056724
gene_191585,0.01017744411407445
gene_4548,0.010149013599519589
gene_6339,0.010137497508566629
gene_23101,0.01013578493644154
gene_23254,0.00999359288939609
gene_255119,0.009963507132173564
gene_79657,0.009708839862170339
gene_105379285,0.009644372399392427
gene_401992,0.009644372399392427
gene_10537,0.009569558934216198
gene_1977,0.009436900816475139
gene_79792,0.009379729570715202
gene_22932,0.009297106604821758
gene_51151,0.009295201554679496
gene_534,0.009280332126766282
gene_57118,0.009201283349632076
gene_1369,0.009199274523240309
gene_158293,0.009037706932228282
gene_26027,0.009011824960178171
gene_342096,0.008996943298501883
gene_6337,0.008912108205956776
gene_5027,0.008906532878119216
gene_66035,0.008725045883086431
gene_8388,0.008686145357403398
gene_285148,0.008630457089460872
gene_84168,0.008483907142101472
gene_64423,0.008477028000239813
gene_152098,0.0084330543378202
gene_85413,0.00818416046715917
gene_339366,0.008168387785453276
gene_66000,0.008156730172930718
gene_150297,0.008129711603625253
gene_386674,0.008070952361123271
gene_51466,0.008002657796219002
gene_728441,0.007944862841799483
gene_127068,0.007943569917625022
gene_5742,0.007809648392935812
gene_54495,0.007779399070527895
gene_11252,0.0077644891978793104
gene_5830,0.007708372450202412
gene_4799,0.007668615660380568
gene_2567,0.007390350875238398
gene_55244,0.007387585394272818
gene_1559,0.007364327253802478
gene_6095,0.007271572525368243
gene_84313,0.00710815273877138
