GENE       CHR      START       STOP  NSNPS  NRARE  NPARAM       N        ZSTAT            P          RSQ      RSQ_ADJ
79501        1      69091      70008    126    126       6  372867      -1.3553      0.91233   5.5746e-06            0
81399        1     685716     686654      2      2       1  372867    -0.091107       0.5363   1.0257e-06            0
148398       1     925741     944581   2479   2479     162  372867      0.68226      0.24754   0.00046637   3.1948e-05
26155        1     944203     959299   2518   2518     163  372867      -1.4194      0.92211   0.00037036            0
339451       1     959952     965720   2220   2220     150  372867     -0.45381      0.67502   0.00037985            0
84069        1     966497     975108   1741   1741     112  372867      0.98703      0.16181   0.00033983   3.9458e-05
84808        1     975199     982117   1458   1458      79  372867      -0.3896      0.65158   0.00019729            0
57801        1     998962    1001285    566    566      22  372867        1.061      0.14433   7.7825e-05   1.8835e-05
9636         1    1013467    1014540    299    299      12  372867      0.54591      0.29256   3.7892e-05    5.722e-06
375790       1    1020101    1056119   4973   4973     365  372867       -1.581      0.94306   0.00086715            0
401934       1    1071746    1074307    356    356      15  372867      0.54022      0.29452   4.6713e-05   6.4373e-06
54991        1    1081818    1116356   1103   1103      43  372867      0.13776      0.44522   0.00011697   1.6689e-06
254173       1    1173898    1197935   1846   1846     115  372867     -0.12394      0.54932   0.00030164            0
8784         1    1203508    1206709    656    656      26  372867     0.059726      0.47619   6.9095e-05            0
7293         1    1211326    1214638    919    919      58  372867     -0.95844      0.83108   0.00012789            0
51150        1    1216908    1232067   1654   1654      86  372867      0.12317      0.45098    0.0002332   2.5034e-06
126792       1    1232249    1235041    573    573      22  372867      -2.5959      0.99528   2.2993e-05            0
388581       1    1242446    1247218    926    926      36  372867      -2.4041      0.99189   5.0438e-05            0
118424       1    1253912    1273854    702    702      28  372867      -1.2278      0.89024   5.1628e-05            0
6339         1    1280415    1292029   2262   2262     154  372867      0.70205      0.24132   0.00044507   3.2008e-05
116983       1    1292384    1307925   2749   2749     193  372867       1.0512      0.14659   0.00057308   5.5492e-05
126789       1    1308571    1311677   1117   1117      65  372867       1.2344      0.10853   0.00021283   3.8505e-05
54973        1    1311585    1324687   2248   2248     153  372867     -0.10448      0.54161   0.00040368            0
80772        1    1324756    1328896    424    424      17  372867       0.8888      0.18706    5.884e-05   1.3232e-05
83756        1    1328999    1335320   1480   1480      80  372867      -1.4158      0.92158   0.00016849            0
1855         1    1335278    1349158   2133   2133     127  372867       1.4617     0.071917   0.00040497   6.4373e-05
54587        1    1352689    1363541   1702   1702      88  372867     -0.35922      0.64029   0.00022173            0
54998        1    1373730    1375438    408    408      17  372867      -1.8241      0.96593   2.1533e-05            0
81669        1    1385711    1399338   1756   1756     113  372867      -1.5309      0.93711   0.00024388            0
55052        1    1401896    1407834    635    635      25  372867     -0.23356      0.59234   6.1006e-05            0
441869       1    1418420    1421820    715    715      28  372867      0.61238      0.27014   8.6111e-05   1.0967e-05
643965       1    1426128    1427787    304    304      13  372867      -1.3125      0.90532   1.8607e-05            0
64856        1    1435523    1442882    814    814      32  372867      0.20336      0.41943   8.8425e-05   2.6226e-06
219293       1    1441301    1470158   1307   1307      72  372867     -0.30672      0.62047   0.00018167            0
83858        1    1471732    1509479   2922   2922     197  372867     -0.72528      0.76586   0.00048896            0
55210        1    1512143    1534687   2075   2075      79  372867      0.62378      0.26639   0.00023171   1.9848e-05
339453       1    1534778    1540360    505    505      20  372867       1.7147     0.043204   8.5844e-05   3.2187e-05
29101        1    1541673    1574882    640    640      25  372867     -0.20338      0.58058   6.1546e-05            0
643988       1    1598008    1600096    385    385      16  372867      -1.2538      0.89504   2.5268e-05            0
142678       1    1614975    1630610   2890   2890     200  372867       1.2273      0.10985     0.000603   6.6638e-05
8510         1    1632181    1634654    514    514      20  372867     -0.10663      0.54246   5.0109e-05            0
984          1    1635226    1659839   1012   1012      62  372867     -0.44373      0.67138   0.00015168            0
728661       1    1660025    1692804   1034   1034      63  372867    0.0015556      0.49938   0.00016722            0
728642       1    1702730    1724352   1587   1587     106  372867     -0.98192      0.83693     0.000246            0
9906         1    1724838    1745999   1815   1815     115  372867     -0.74472      0.77178   0.00027744            0
65220        1    1751232    1780514   1551   1551      82  372867      0.78196      0.21712   0.00024596   2.6047e-05
2782         1    1785285    1891117    718    718      28  372867      0.58673      0.27869   8.5547e-05    1.049e-05
163688       1    1913752    1917294    484    484      19  372867       1.4519      0.07326    7.659e-05    2.563e-05
