GENE       CHR      START       STOP  NSNPS  NRARE  NPARAM       N        ZSTAT            P          RSQ      RSQ_ADJ
6339         1    1280415    1292029   2249   2249     153  235812       4.9866   3.0721e-07    0.0010881   0.00043958
219293       1    1441301    1470158   1386   1386      76  235812       4.3425   7.0435e-06    0.0006014   0.00027919
63976        1    3068227    3438621   2484   2484     162  235812       3.3074   0.00047081   0.00096771   0.00028092
60672        1   12019242   12032049    997    997      60  235812       3.4068   0.00032859   0.00044318   0.00018877
93190        1   12746186   12761169    386    386      16  235812       3.6345   0.00013926   0.00019078    0.0001229
343068       1   13254198   13263435    301    301      13  235812       3.1689     0.000765   0.00014963   9.4473e-05
23254        1   13893515   15118048   3080   3080     206  235812       3.8973   4.8627e-05    0.0012496   0.00037634
727684       1   15164196   15171624    207    207       9  235812       3.2633   0.00055063   0.00012475   8.6606e-05
8574         1   19302708   19312146    821    821      54  235812       5.0446   2.2726e-07   0.00052385   0.00029492
6920         1   23380909   23424779    946    946      59  235812       3.0055    0.0013258    0.0004115   0.00016129
400746       1   24556076   24609328    275    275      11  235812       3.6664     0.000123   0.00015618   0.00010955
2268         1   27612289   27635561    919    919      57  235812       3.5087   0.00022515   0.00043317   0.00019145
9410         1   31259568   31296797    894    894      57  235812       3.7475   8.9306e-05   0.00044917   0.00020748
127534       1   34759741   34763724    414    414      17  235812       3.2294   0.00062027    0.0001791   0.00010699
64756        1   46635039   46668427    906    906      35  235812       3.1187   0.00090823   0.00028403   0.00013566
148979       1   53506233   53734204   1380   1380      75  235812       4.9084   4.5908e-07   0.00064092     0.000323
26027        1   54548134   54634744   2919   2919     200  235812       3.5256   0.00021125    0.0011797   0.00033188
731          1   56854770   56918221   1228   1228      70  235812       3.2419   0.00059358   0.00048671    0.0001899
115209       1   58480719   58546799    319    319      13  235812       3.0788    0.0010393   0.00014595   9.0837e-05
10207        1   61742477   62163920   3983   3983     264  235812       3.5849   0.00016861    0.0015025   0.00038338
9829         1   65248148   65415869   2041   2041     145  235812       3.5176   0.00021773   0.00090141    0.0002867
8880         1   77944055   77979205   1635   1635     107  235812       3.2381   0.00060154   0.00068167   0.00022805
255631       1   85729233   86156791   4277   4277     296  235812       3.3173   0.00045453    0.0016257   0.00037092
6125         1   92832037   92841924    659    659      26  235812       3.2675   0.00054254   0.00023803   0.00012779
400818       1  149054033  149090861    892    892      57  235812       3.0697    0.0010714   0.00040471   0.00016302
56957        1  149940330  150010772   1140   1140      67  235812       3.2956   0.00049114   0.00047414   0.00019008
51686        1  151762969  151771330    720    720      51  235812       3.1153   0.00091889   0.00037455   0.00015831
339398       1  151800264  151805442    516    516      20  235812         3.14   0.00084473   0.00019443   0.00010961
