GENE       CHR      START       STOP  NSNPS  NRARE  NPARAM       N        ZSTAT            P          RSQ      RSQ_ADJ
79501        1      69091      70008    132    132       6  235812      -1.4607      0.92795   8.0921e-06            0
81399        1     685716     686654      2      2       1  235812     -0.70112      0.75838   4.0125e-07            0
148398       1     925741     944581   2525   2525      96  235812       2.4899    0.0063889   0.00056797   0.00016093
26155        1     944203     959299   2566   2566     164  235812        1.045        0.148   0.00077581   8.0347e-05
339451       1     959952     965720   2199   2199     149  235812       1.2025      0.11458   0.00072094   8.9109e-05
84069        1     966497     975108   1784   1784     113  235812      0.32358      0.37313   0.00049723    1.806e-05
84808        1     975199     982117   1483   1483      80  235812        1.063      0.14388    0.0003964   5.7161e-05
57801        1     998962    1001285    575    575      22  235812       2.2959      0.01084   0.00016958   7.6294e-05
9636         1    1013467    1014540    302    302      13  235812      0.88075      0.18923   7.3045e-05   1.7881e-05
375790       1    1020101    1056119   5105   5105     347  235812       1.3789     0.083959    0.0016279   0.00015658
401934       1    1071746    1074307    353    353      15  235812       1.8928     0.029191   0.00011426   5.0604e-05
54991        1    1081818    1116356   1097   1097      64  235812      0.84083      0.20022   0.00031069   3.9279e-05
254173       1    1173898    1197935   1932   1932     117  235812      0.63118      0.26396   0.00053527   3.9101e-05
8784         1    1203508    1206709    667    667      26  235812      0.65191      0.25723    0.0001283   1.8001e-05
7293         1    1211326    1214638    933    933      36  235812       2.5491    0.0053993   0.00025977   0.00010711
51150        1    1216908    1232067   1679   1679      87  235812       2.3061     0.010551   0.00050995   0.00014108
126792       1    1232249    1235041    574    574      22  235812       -1.681      0.95361    5.164e-05            0
388581       1    1242446    1247218    952    952      37  235812     -0.70276       0.7589    0.0001301            0
118424       1    1253912    1273854    725    725      28  235812      0.19277      0.42357   0.00012206   3.3379e-06
6339         1    1280415    1292029   2249   2249     153  235812       4.9866   3.0721e-07    0.0010881   0.00043958
116983       1    1292384    1307925   2762   2762     196  235812       1.8572     0.031639    0.0009938   0.00016272
126789       1    1308571    1311677   1180   1180      68  235812       1.4892     0.068219   0.00036515    7.683e-05
54973        1    1311585    1324687   2259   2259     154  235812      0.59301      0.27659   0.00069525    4.226e-05
80772        1    1324756    1328896    424    424      17  235812      -1.5442      0.93873   3.8372e-05            0
83756        1    1328999    1335320   1500   1500      57  235812       1.8326     0.033434   0.00033104   8.9347e-05
1855         1    1335278    1349158   2170   2170     150  235812      0.74354      0.22858   0.00068931   5.3227e-05
54587        1    1352689    1363541   1721   1721     111  235812       1.5355      0.06233   0.00057132   0.00010061
54998        1    1373730    1375438    428    428      18  235812      -1.6636       0.9519   3.9518e-05            0
81669        1    1385711    1399338   1762   1762     113  235812     -0.76734      0.77856   0.00042928            0
55052        1    1401896    1407834    665    665      26  235812     -0.58192      0.71969   9.0859e-05            0
441869       1    1418420    1421820    742    742      29  235812     -0.83872      0.79919    9.539e-05            0
643965       1    1426128    1427787    310    310      13  235812      0.44439      0.32838   6.2212e-05    7.093e-06
64856        1    1435523    1442882    890    890      57  235812     -0.87187      0.80836   0.00020181            0
219293       1    1441301    1470158   1386   1386      76  235812       4.3425   7.0435e-06    0.0006014   0.00027919
83858        1    1471732    1509479   3049   3049     224  235812       2.2166     0.013326    0.0011597   0.00020999
55210        1    1512143    1534687   2114   2114     143  235812       2.9304    0.0016928   0.00083802   0.00023174
339453       1    1534778    1540360    497    497      19  235812       2.1028     0.017742   0.00014473   6.4135e-05
29101        1    1541673    1574882    647    647      25  235812     -0.30165      0.61854   9.4556e-05            0
643988       1    1598008    1600096    374    374      15  235812    -0.095687      0.53812   5.8668e-05            0
142678       1    1614975    1630610   2954   2954     202  235812       1.2605      0.10374   0.00096552   0.00010902
8510         1    1632181    1634654    501    501      20  235812     -0.43347      0.66766    7.113e-05            0
984          1    1635226    1659839   1045   1045      63  235812       2.1584     0.015447      0.00038   0.00011289
728661       1    1660025    1692804   1066   1066      64  235812       1.0003      0.15859   0.00031914   4.7743e-05
728642       1    1702730    1724352   1632   1632     108  235812       2.1289     0.016632   0.00060044   0.00014251
9906         1    1724838    1745999   1889   1889     117  235812      0.24206      0.40437   0.00050915   1.2994e-05
65220        1    1751232    1780514   1568   1568     104  235812       1.2828      0.09979   0.00052107   8.0049e-05
2782         1    1785285    1891117    705    705      28  235812     -0.38261      0.64899   0.00010436            0
163688       1    1913752    1917294    514    514      20  235812       1.3774     0.084196   0.00012376   3.8981e-05
339456       1    1917589    1919301    483    483      19  235812     -0.45642      0.67596   6.6659e-05            0
85452        1    1921951    2003837   4720   4720     335  235812       2.1897     0.014272    0.0016714   0.00025117
2563         1    2019329    2030753   1074   1074      63  235812      0.47761      0.31646   0.00028758   2.0385e-05
5590         1    2050470    2185395   2436   2436     161  235812       1.3696     0.085407   0.00078922   0.00010657
199990       1    2184460    2212720   1891   1891     116  235812       1.2256      0.11018   0.00057227   8.0407e-05
6497         1    2228695    2310213   1655   1655      86  235812      0.39375      0.34688   0.00038411   1.9431e-05
79906        1    2321253    2391751   3022   3022     203  235812     0.034854       0.4861   0.00086101   1.1921e-07
11079        1    2391314    2405444    733    733      29  235812      0.51177      0.30441   0.00013722   1.4246e-05
5192         1    2404802    2413780    799    799      53  235812      -1.5333       0.9374   0.00016195            0
9651         1    2415782    2505530   3139   3139     210  235812     -0.27302      0.60758   0.00086426            0
55229        1    2508531    2526628   2316   2316     155  235812      -1.1052      0.86546   0.00057561            0
388585       1    2528745    2530245    385    385      16  235812      -2.1576      0.98452   2.6716e-05            0
8764         1    2556365    2565622   1187   1187      69  235812       1.1312      0.12898   0.00034949   5.6863e-05
127281       1    2586460    2591469    820    820      54  235812      0.93539      0.17479    0.0002696    4.065e-05
79258        1    2590639    2633042   2398   2398     159  235812     -0.74686      0.77243   0.00061669            0
100287898    1    2636988    2789665   1138   1138      66  235812        2.496    0.0062807   0.00041613   0.00013626
140625       1    3021482    3022903    463    463      18  235812       2.0068     0.022385   0.00013542   5.9128e-05
63976        1    3068227    3438621   2484   2484     162  235812       3.3074   0.00047081   0.00096771   0.00028092
27237        1    3454583    3481115   1900   1900      72  235812       2.7049    0.0034165   0.00046078   0.00015551
1953         1    3487942    3624757   4493   4493     326  235812       1.4926     0.067775    0.0015473    0.0001651
127262       1    3624992    3630131    667    667      26  235812       1.6542     0.049039   0.00016527   5.5015e-05
49856        1    3630767    3650107   1337   1337      74  235812       1.6158     0.053068   0.00040143   8.7619e-05
7161         1    3652565    3736201   1762   1762     111  235812       1.5921      0.05568    0.0005754   0.00010473
148870       1    3752398    3771645   1464   1464     100  235812     0.059958      0.47609   0.00042484   7.7486e-07
388588       1    3772761    3775982    219    219       9  235812     -0.14893       0.5592   3.2879e-05            0
57470        1    3780220    3796504   1030   1030      40  235812     -0.52156      0.69901   0.00014798            0
9731         1    3812081    3857387   1990   1990     120  235812     -0.86447      0.80634   0.00045156            0
1677         1    3857143    3885429    801    801      32  235812      0.88526      0.18801    0.0001648   2.9087e-05
339448       1    3889133    3900293    741    741      29  235812       1.8937      0.02913   0.00019102   6.8069e-05
55966        1    4655045    4792534    825    825      32  235812      0.11862      0.45279    0.0001369   1.1921e-06
261734       1    5862808    5992505   3599   3599     248  235812     -0.65884        0.745   0.00098799            0
8514         1    5992298    6101193   2139   2139     149  235812       2.1567     0.015514   0.00079985   0.00016809
26038        1    6101787    6180134   3830   3830     257  235812      0.92969      0.17627    0.0011787    8.893e-05
6146         1    6185020    6199619    390    390      16  235812        1.997     0.022912   0.00012363    5.579e-05
388591       1    6205775    6221299   1612   1612     107  235812       1.0504      0.14676     0.000519   6.5267e-05
23463        1    6221193    6235984    576    576      23  235812      -1.3149      0.90573   6.2255e-05            0
390992       1    6244158    6245578    321    321      13  235812        1.745     0.040493   9.7957e-05   4.2796e-05
387509       1    6247346    6260990   1136   1136      67  235812       2.7421    0.0030522   0.00043713   0.00015306
11332        1    6264272    6393766   1672   1672     108  235812       1.6591     0.048543    0.0005661   0.00010812
54626        1    6415232    6424664    530    530      21  235812      -1.0429      0.85151   6.1095e-05            0
83715        1    6424776    6460944   1786   1786     114  235812      0.70133      0.24155   0.00052676   4.3333e-05
8718         1    6461151    6466195   1155   1155      68  235812       1.3284      0.09202   0.00035593   6.7592e-05
57449        1    6466092    6520061   3062   3062     205  235812       1.9554     0.025271     0.001045   0.00017583
79707        1    6521347    6554598   1176   1176      68  235812       1.5329     0.062654   0.00036768   7.9334e-05
80835        1    6555278    6579757   1117   1117      66  235812       2.1073     0.017545   0.00039202   0.00011212
3104         1    6579991    6589280   1190   1190      69  235812       1.3209     0.093267   0.00036023   6.7592e-05
9903         1    6590724    6602898   1193   1193      67  235812      0.35735      0.36042   0.00029911   1.4961e-05
148479       1    6613696    6624033    583    583      23  235812      0.62989      0.26438   0.00011367   1.6093e-05
90326        1    6624865    6635586   1100   1100      42  235812     -0.28942      0.61387   0.00016438            0
55735        1    6634168    6701906   1508   1508      81  235812      0.87161      0.19171   0.00038965   4.6194e-05
23261        1    6785324    7769706   2861   2861     199  235812        2.183     0.014517     0.001039   0.00019532
9341         1    7771269    7781432    424    424      17  235812      0.95267      0.17038   9.4925e-05   2.2888e-05
8863         1    7784380    7845181   2559   2559     163  235812      0.77546      0.21903   0.00074933   5.8174e-05
10911        1    7847612    7913610    405    405      17  235812      0.62617       0.2656   8.5536e-05   1.3471e-05
3604         1    7915871    7943165    625    625      24  235812      0.18026      0.42848   0.00010427   2.5034e-06
11315        1    7961654    7985283    528    528      21  235812      0.70099      0.24165   0.00010656   1.7524e-05
54206        1    8011719    8026333    473    473      18  235812      0.67392      0.25018   9.1603e-05   1.5259e-05
50651        1    8318085    8344167   1193   1193      68  235812       2.7982    0.0025698   0.00044605   0.00015777
473          1    8352404    8817691   3175   3175     121  235812       1.8805     0.030022    0.0006441   0.00013107
2023         1    8861000    8879092   1320   1320      96  235812       1.2812      0.10006   0.00048395    7.689e-05
765          1    8945785    8975092    866    866      56  235812       1.9594     0.025032   0.00033313   9.5725e-05
155184       1    8960853    9026384   1761   1761     112  235812       0.8745      0.19092   0.00052961   5.4717e-05
6518         1    9036943    9071704   1206   1206      69  235812      0.12911      0.44864   0.00029623   3.6359e-06
80045        1    9103391    9129170    658    658      26  235812      0.41901       0.3376   0.00012056   1.0312e-05
9563         1    9234776    9271337   1437   1437      78  235812      -1.3251      0.90743     0.000263            0
80176        1    9292882    9369532    544    544      21  235812    -0.020038      0.50799   8.5705e-05            0
84275        1    9539469    9582773    702    702      28  235812       1.6534     0.049126   0.00017564   5.6922e-05
199953       1    9588853    9614877   2271   2271     154  235812       1.7204     0.042684    0.0007864    0.0001334
5293         1    9629889    9729114   2129   2129     126  235812       1.5319     0.062778   0.00064101   0.00010675
22883        1    9729021    9824526   2035   2035     122  235812        2.838    0.0022699   0.00072528   0.00020802
56998        1    9848276    9910258    232    232      10  235812       2.5397    0.0055467   0.00010557   6.3121e-05
84328        1    9922110    9943402    905    905      36  235812      0.11896      0.45265   0.00015412   1.4305e-06
64802        1    9942923    9985501    425    425      17  235812       1.2493      0.10578   0.00010402   3.1948e-05
105376719    1    9996423    9998089    105    105       5  235812       1.7281     0.041983   4.8854e-05   2.7657e-05
116362       1    9997197   10016020    332    332      14  235812       1.1757      0.11985   8.6245e-05   2.6882e-05
10277        1   10032983   10181239   2284   2284     155  235812     -0.35891      0.64017   0.00062812            0
23095        1   10210706   10381603   4763   4763     337  235812       2.1962     0.014037    0.0016814   0.00025266
5226         1   10398992   10420511   1209   1209      70  235812     -0.64331      0.73999   0.00026309            0
378708       1   10430102   10442815    749    749      52  235812       1.6299     0.051564   0.00029534   7.4804e-05
100526739    1   10430102   10452003   1003   1003      39  235812       1.0664      0.14313   0.00020538   4.0054e-05
1325         1   10449719   10452003    254    254      11  235812      0.40465      0.34287   5.2082e-05    5.424e-06
1676         1   10460531   10472556    902    902      35  235812       2.2355     0.012691   0.00023873   9.0301e-05
5195         1   10474946   10630758   1014   1014      62  235812       2.0672     0.019358   0.00036952   0.00010663
54897        1   10636604   10796676   3072   3072     228  235812       2.3899    0.0084266    0.0011964   0.00022978
148345       1   10946473   10982037   1350   1350      51  235812       2.2029     0.013802   0.00032124   0.00010496
23435        1   11012622   11025492    627    627      25  235812       1.1234      0.13063   0.00014001   3.3975e-05
10747        1   11026523   11047239   1387   1387      76  235812       0.5719       0.2837   0.00035014   2.7835e-05
6723         1   11054592   11060034    675    675      26  235812      -1.1983       0.8846   7.5283e-05            0
5394         1   11066613   11099910   2165   2165     150  235812       2.4178    0.0078081   0.00082722   0.00019121
2475         1   11106531   11262557   5202   5202     348  235812        1.567     0.058552    0.0016549   0.00017941
10218        1   11189289   11195981    606    606      24  235812       0.1481      0.44113   0.00010331   1.5497e-06
29914        1   11273198   11296595    397    397      16  235812       1.2222      0.11081   9.8004e-05    3.016e-05
57540        1   11479238   11537583   2476   2476     161  235812       1.0807      0.13992   0.00076527   8.2552e-05
26232        1   11648361   11654831    708    708      28  235812      0.13018      0.44821   0.00012005   1.3113e-06
93611        1   11654375   11663327    524    524      20  235812      0.14902      0.44077   8.5986e-05   1.1921e-06
