GENE	CHR	POS	STOP	NSNPS	NRARE	NPARAM	N	ZSTAT	P	RSQ	RSQ_ADJ	ANNOTATION	PHENOTYPE
9745	19	30225044	30713538	1373	1373	98	372867	4,2489	1,07E-05	0,00045367	0,00019091	ZNF536	broad_aud_ph
23220	11	59171430	59208587	965	965	60	372867	4,128	1,83E-05	0,00031178	0,00015086	DTX4	broad_aud_ph
57121	12	6618835	6636131	415	415	17	372867	4,0064	3,08E-05	0,00013645	9,08E-05	LPAR5	broad_aud_ph
23174	16	87406246	87492269	1832	1832	114	372867	3,922	4,39E-05	0,0004908	0,00018513	ZCCHC14	broad_aud_ph
9791	8	96261886	96334552	973	973	60	372867	3,673	0,00011987	0,00029166	0,00013077	PTDSS1	broad_aud_ph
6846	1	168540765	168543997	296	296	12	372867	3,5748	0,00017527	0,00010097	6,88E-05	XCL2	broad_aud_ph
22933	19	38878555	38899862	1167	1167	68	372867	3,5543	0,0001895	0,00031473	0,00013238	SIRT2	broad_aud_ph
81605	9	128371319	128392016	735	735	29	372867	3,5532	0,00019032	0,00017169	9,39E-05	URM1	broad_aud_ph
132625	4	187994054	188005050	323	323	13	372867	3,5383	0,00020134	0,00010454	6,97E-05	ZFP42	broad_aud_ph
25959	19	11164267	11197567	1572	1572	106	372867	3,5339	0,00020477	0,00044312	0,00015885	KANK2	broad_aud_ph
8388	17	3432870	3433841	235	235	10	372867	3,5293	0,00020833	9,04E-05	6,3539E-05	OR1E2	broad_aud_ph
51046	18	57352490	57371800	486	486	19	372867	3,4815	0,0002493	0,00012896	7,80E-05	ST8SIA3	broad_aud_ph
25839	16	70480569	70523554	1862	1862	117	372867	3,481	0,00024981	0,00047673	0,00016296	COG4	broad_aud_ph
5168	8	119557077	119673404	2174	2174	151	372867	3,4435	0,00028707	0,00058507	0,00018018	ENPP2	broad_aud_ph
51319	3	158110052	158544835	716	716	28	372867	3,4061	0,00032944	0,00016284	8,77E-05	RSRC1	broad_aud_ph
51091	4	25120005	25160582	1121	1121	65	372867	3,3757	0,00036809	0,00029642	0,00012213	SEPSECS	broad_aud_ph
54509	12	121777754	121793688	534	534	21	372867	3,3638	0,00038439	0,00013365	7,74E-05	RHOF	broad_aud_ph
339366	19	1505018	1513189	1247	1247	71	372867	3,3169	0,0004551	0,00031455	0,00012416	ADAMTSL5	broad_aud_ph
55148	14	93207056	93229215	827	827	33	372867	3,3139	0,00046005	0,00017888	9,04E-05	UBR7	broad_aud_ph
25929	5	154887416	154938216	2704	2704	172	372867	3,3007	0,00048221	0,00064329	0,00018209	GEMIN5	broad_aud_ph
889	7	92198969	92246128	1332	1332	74	372867	3,2792	0,00052057	0,00032311	0,00012463	KRIT1	broad_aud_ph
9829	1	65248148	65415869	2009	2009	123	372867	3,22	0,00064088	0,00048221	0,00015241	DNAJC6	broad_aud_ph
26339	3	98469577	98470528	295	295	12	372867	3,2182	0,00064509	9,15E-05	5,94E-05	OR5K1	broad_aud_ph
4311	3	155024124	155183729	1594	1594	106	372867	3,2086	0,00066693	0,00042634	0,0001421	MME	broad_aud_ph
85409	5	1008820	1038812	1310	1310	73	372867	3,2057	0,00067359	0,00031643	0,0001207	NKD2	broad_aud_ph
55628	18	74597870	75065672	2479	2479	162	372867	3,1684	0,0007664	0,00060367	0,00016928	ZNF407	broad_aud_ph
390081	11	5880630	5885294	308	308	13	372867	3,1678	0,00076792	9,46E-05	5,98E-05	OR52E4	broad_aud_ph
613211	8	11993177	12000752	195	195	8	372867	3,121	0,00090121	7,08E-05	4,93E-05	DEFB134	broad_aud_ph
84461	17	7315632	7329319	2592	2592	187	372867	3,1028	0,00095865	0,00067792	0,00017649	NEURL4	broad_aud_ph
727851	2	112368369	112433645	1087	1087	65	372867	3,0399	0,0011833	0,00028212	0,00010782	RGPD8	broad_aud_ph
124930	17	29593509	29614761	1160	1160	68	372867	3,034	0,0012067	0,00029204	0,00010967	ANKRD13B	broad_aud_ph
10281	21	38006553	38121360	245	245	10	372867	3,0226	0,0012532	7,77E-05	5,09E-05	DSCR4	broad_aud_ph
375612	7	104328656	104908558	498	498	19	372867	3,0114	0,0013003	0,00011529	6,44E-05	LHFPL3	broad_aud_ph
2254	13	21671076	21704501	292	292	12	372867	3,0109	0,0013023	8,63E-05	5,41E-05	FGF9	broad_aud_ph
55622	2	32628020	32821051	1722	1722	110	372867	3,0067	0,0013206	0,00042905	0,00013405	TTC27	broad_aud_ph
